scenario,question,A,B,C,D,answer
"Sixty percent of the customers at a bakery buy one loaf of bread, 10 percent buy two, and the remaining 30% don't buy any bread at all.  Let \(P_n\) represent the probability that the bakery has sold an even number of loaves to the first n customers. ",The value of \(P_1\) is . . .,0.6,0.4,0.1,0.5,0.4
"Sixty percent of the customers at a bakery buy one loaf of bread, 10 percent buy two, and the remaining 30% don't buy any bread at all.  Let \(P_n\) represent the probability that the bakery has sold an even number of loaves to the first n customers. ",The value of \(P_{13}\) is . . .,\(P_3*P_{10}\),\(P_7*P_6\),\((1-P_3)*(1-P_{10})\),All of the above,All of the above
"Sixty percent of the customers at a bakery buy one loaf of bread, 10 percent buy two, and the remaining 30% don't buy any bread at all.  Let \(P_n\) represent the probability that the bakery has sold an even number of loaves to the first n customers. ","After several thousand customers, the probability the bakery has sold an even number of loaves would be very close to . . .",0.6,0.4,0.1,0.5,0.5
"Alexis, James, and Liang are playing catch with a frisbee.  When Alexis has the frisbee she throws it to James or Liang each half the time.  When either James or Liang have the frisbee, they throw it to Alexis a proportion p of the time (0 < p < 1).","In this case the transition probability matrix for the states denoted A, J, and L respectively is given by:",\(\begin{bmatrix}0 & 0.5 & 0.5 \\p & 0 & 1-p \\  p & 1-p & 0 \end{bmatrix}\),\(\begin{bmatrix}1 & 0.5 & 0.5 \\p & 1 & 1-p \\  p & 1-p & 1 \end{bmatrix}\),\(\begin{bmatrix}0 & 0.5 & 0.5 \\0.5 & 0 & 0.5 \\  0.5 & 0.5 & 0 \end{bmatrix}\),\(\begin{bmatrix}p & 0.5 & 0.5 \\p & 0.5 & 0.5 \\  p & 0.5 & 0.5 \end{bmatrix}\),\(\begin{bmatrix}0 & 0.5 & 0.5 \\p & 0 & 1-p \\  p & 1-p & 0 \end{bmatrix}\)
"Alexis, James, and Liang are playing catch with a frisbee.  When Alexis has the frisbee she throws it to James or Liang each half the time.  When either James or Liang have the frisbee, they throw it to Alexis a proportion p of the time (0 < p < 1).","If the frisbee starts with Alexis, then the probability she has it again after three tosses is given by","the (3,1) element of P","the (1,3) element of P","the (1,1) element of P^3","the (3,1) element of P^3","the (1,1) element of P^3"
"Alexis, James, and Liang are playing catch with a frisbee.  When Alexis has the frisbee she throws it to James or Liang each half the time.  When either James or Liang have the frisbee, they throw it to Alexis a proportion p of the time (0 < p < 1).","If they play catch all day, what value of p would make it so Alexis has the frisbee for \(\1/3\) of the catches? (solve using theory \(\tilde{n}\) or use the slider to the left) (programming note \(\tilde{n}\) slider is for value of p and shows ",\(0.5\),\(2/3\),\(3/4\),\(1\),\(0.5\)
"Alexis, James, and Liang are playing catch with a frisbee.  When Alexis has the frisbee she throws it to James or Liang each half the time.  When either James or Liang have the frisbee, they throw it to Alexis a proportion p of the time (0 < p < 1).","In this case the transition probability matrix for the states denoted A, J, and L respectively is given by:",\(\begin{bmatrix}0 & 0.5 & 0.5 \\p & 0 & 1-p \\  p & 1-p & 0 \end{bmatrix}\),\(\begin{bmatrix}1 & 0.5 & 0.5 \\p & 1 & 1-p \\  p & 1-p & 1 \end{bmatrix}\),\(\begin{bmatrix}0 & 0.5 & 0.5 \\0.5 & 0 & 0.5 \\  0.5 & 0.5 & 0 \end{bmatrix}\),\(\begin{bmatrix}p & 0.5 & 0.5 \\p & 0.5 & 0.5 \\  p & 0.5 & 0.5 \end{bmatrix}\),\(\begin{bmatrix}0 & 0.5 & 0.5 \\p & 0 & 1-p \\  p & 1-p & 0 \end{bmatrix}\)
"Alexis, James, and Liang are playing catch with a frisbee.  When Alexis has the frisbee she throws it to James or Liang each half the time.  When either James or Liang have the frisbee, they throw it to Alexis a proportion p of the time (0 < p < 1).","If the frisbee starts with Alexis, then the probability she has it again after three tosses is given by","the (3,1) element of P","the (1,3) element of P","the (1,1) element of P^3","the (3,1) element of P^3","the (1,1) element of P^3"
"Alexis, James, and Liang are playing catch with a frisbee.  When Alexis has the frisbee she throws it to James or Liang each half the time.  When either James or Liang have the frisbee, they throw it to Alexis a proportion p of the time (0 < p < 1).","If they play catch all day, what value of p would make it so Alexis has the frisbee for \(\2/5\) of the catches? (solve using theory \(\tilde{n}\) or use the slider to the left) (programming note \(\tilde{n}\) slider is for value of p and shows ",\(0.5\),\(2/3\),\(3/4\),\(1\),\(2/3\)
"Alexis, James, and Liang are playing catch with a frisbee.  When Alexis has the frisbee she throws it to James or Liang each half the time.  When either James or Liang have the frisbee, they throw it to Alexis a proportion p of the time (0 < p < 1).","In this case the transition probability matrix for the states denoted A, J, and L respectively is given by:",\(\begin{bmatrix}0 & 0.5 & 0.5 \\p & 0 & 1-p \\  p & 1-p & 0 \end{bmatrix}\),\(\begin{bmatrix}1 & 0.5 & 0.5 \\p & 1 & 1-p \\  p & 1-p & 1 \end{bmatrix}\),\(\begin{bmatrix}0 & 0.5 & 0.5 \\0.5 & 0 & 0.5 \\  0.5 & 0.5 & 0 \end{bmatrix}\),\(\begin{bmatrix}p & 0.5 & 0.5 \\p & 0.5 & 0.5 \\  p & 0.5 & 0.5 \end{bmatrix}\),\(\begin{bmatrix}0 & 0.5 & 0.5 \\p & 0 & 1-p \\  p & 1-p & 0 \end{bmatrix}\)
